,symbol,date,price
44892,Food Indices,Jan 1 2000,28.335622
44893,Food Indices,Jan 1 2001,28.574027
44894,Food Indices,Jan 1 2002,32.964682
44895,Food Indices,Jan 1 2003,34.449753
44896,Food Indices,Jan 1 2004,35.045777
44897,Food Indices,Jan 1 2005,37.911621
44898,Food Indices,Jan 1 2006,43.67808
44899,Food Indices,Jan 1 2007,48.565415
44900,Food Indices,Jan 1 2008,54.078576
44901,Food Indices,Jan 1 2009,61.404602
44902,Food Indices,Jan 1 2010,64.399591
44903,Food Indices,Jan 1 2011,74.81995
44904,Food Indices,Jan 1 2012,77.278519
44905,Food Indices,Jan 1 2013,82.614628
44906,Food Indices,Jan 1 2014,92.053621
44907,Food Indices,Jan 1 2015,99.640759
44908,Food Indices,Jan 1 2016,106.21211
44909,Food Indices,Jan 1 2017,110.572175
44910,Food Indices,Jan 1 2018,113.830503
44911,Food Indices,Jan 1 2019,116.112114
44912,Food Indices,Jan 1 2020,120.912556
44913,Food Indices,Jan 1 2021,124.315679
44914,Food Indices,Feb 1 2000,28.241256
44915,Food Indices,Feb 1 2001,29.016073
44916,Food Indices,Feb 1 2002,33.958042
44917,Food Indices,Feb 1 2003,34.186516
44918,Food Indices,Feb 1 2004,34.549097
44919,Food Indices,Feb 1 2005,37.355338
44920,Food Indices,Feb 1 2006,44.19463
44921,Food Indices,Feb 1 2007,48.97766
44922,Food Indices,Feb 1 2008,54.942791
44923,Food Indices,Feb 1 2009,61.985725
44924,Food Indices,Feb 1 2010,64.955867
44925,Food Indices,Feb 1 2011,74.571606
44926,Food Indices,Feb 1 2012,76.712304
44927,Food Indices,Feb 1 2013,84.27114
44928,Food Indices,Feb 1 2014,92.381798
44929,Food Indices,Feb 1 2015,98.17959
44930,Food Indices,Feb 1 2016,105.594825
44931,Food Indices,Feb 1 2017,110.228371
44932,Food Indices,Feb 1 2018,113.978964
44933,Food Indices,Feb 1 2019,114.783779
44934,Food Indices,Feb 1 2020,122.06619
44935,Food Indices,Feb 1 2021,124.407029
44936,Food Indices,Mar 1 2000,27.595567
44937,Food Indices,Mar 1 2001,29.289249
44938,Food Indices,Mar 1 2002,33.029255
44939,Food Indices,Mar 1 2003,33.461362
44940,Food Indices,Mar 1 2004,34.58386
44941,Food Indices,Mar 1 2005,37.40004
44942,Food Indices,Mar 1 2006,43.807217
44943,Food Indices,Mar 1 2007,49.052164
44944,Food Indices,Mar 1 2008,55.732517
44945,Food Indices,Mar 1 2009,61.821824
44946,Food Indices,Mar 1 2010,64.36482
44947,Food Indices,Mar 1 2011,73.121299
44948,Food Indices,Mar 1 2012,76.458991
44949,Food Indices,Mar 1 2013,85.685427
44950,Food Indices,Mar 1 2014,91.975484
44951,Food Indices,Mar 1 2015,97.460726
44952,Food Indices,Mar 1 2016,106.321503
44953,Food Indices,Mar 1 2017,109.501693
44954,Food Indices,Mar 1 2018,114.143052
44955,Food Indices,Mar 1 2019,113.533581
44956,Food Indices,Mar 1 2020,122.191796
44957,Food Indices,Mar 1 2021,124.909453
44958,Food Indices,Apr 1 2000,27.153521
44959,Food Indices,Apr 1 2001,29.001173
44960,Food Indices,Apr 1 2002,32.398468
44961,Food Indices,Apr 1 2003,33.163354
44962,Food Indices,Apr 1 2004,35.214647
44963,Food Indices,Apr 1 2005,37.320574
44964,Food Indices,Apr 1 2006,43.434705
44965,Food Indices,Apr 1 2007,48.416415
44966,Food Indices,Apr 1 2008,56.035487
44967,Food Indices,Apr 1 2009,60.997327
44968,Food Indices,Apr 1 2010,64.578393
44969,Food Indices,Apr 1 2011,71.730595
44970,Food Indices,Apr 1 2012,76.553357
44971,Food Indices,Apr 1 2013,85.216602
