,symbol,date,price
51600,Food Indices (2015=100),Jan 1 2000,28.100684
51601,Food Indices (2015=100),Jan 1 2001,32.943802
51602,Food Indices (2015=100),Jan 1 2002,34.664099
51603,Food Indices (2015=100),Jan 1 2003,34.896685
51604,Food Indices (2015=100),Jan 1 2004,37.366176
51605,Food Indices (2015=100),Jan 1 2005,38.316823
51606,Food Indices (2015=100),Jan 1 2006,42.227412
51607,Food Indices (2015=100),Jan 1 2007,45.244446
51608,Food Indices (2015=100),Jan 1 2008,58.640235
51609,Food Indices (2015=100),Jan 1 2009,69.903238
51610,Food Indices (2015=100),Jan 1 2010,65.914031
51611,Food Indices (2015=100),Jan 1 2011,86.047272
51612,Food Indices (2015=100),Jan 1 2012,85.477245
51613,Food Indices (2015=100),Jan 1 2013,89.964259
51614,Food Indices (2015=100),Jan 1 2014,91.019404
51615,Food Indices (2015=100),Jan 1 2015,103.638728
51616,Food Indices (2015=100),Jan 1 2016,98.21881
51617,Food Indices (2015=100),Jan 1 2017,94.72715
51618,Food Indices (2015=100),Jan 1 2018,96.659971
51619,Food Indices (2015=100),Jan 1 2019,94.117427
51620,Food Indices (2015=100),Jan 1 2020,99.913257
51621,Food Indices (2015=100),Jan 1 2021,118.360827
51622,Food Indices (2015=100),Feb 1 2000,28.52679
51623,Food Indices (2015=100),Feb 1 2001,33.09975
51624,Food Indices (2015=100),Feb 1 2002,34.66897
51625,Food Indices (2015=100),Feb 1 2003,35.268405
51626,Food Indices (2015=100),Feb 1 2004,37.612378
51627,Food Indices (2015=100),Feb 1 2005,38.269266
51628,Food Indices (2015=100),Feb 1 2006,43.467405
51629,Food Indices (2015=100),Feb 1 2007,44.940873
51630,Food Indices (2015=100),Feb 1 2008,59.752696
51631,Food Indices (2015=100),Feb 1 2009,68.88968
51632,Food Indices (2015=100),Feb 1 2010,67.159534
51633,Food Indices (2015=100),Feb 1 2011,88.642442
51634,Food Indices (2015=100),Feb 1 2012,84.879702
51635,Food Indices (2015=100),Feb 1 2013,90.14395
51636,Food Indices (2015=100),Feb 1 2014,91.86702
51637,Food Indices (2015=100),Feb 1 2015,103.544205
51638,Food Indices (2015=100),Feb 1 2016,97.261928
51639,Food Indices (2015=100),Feb 1 2017,95.608356
51640,Food Indices (2015=100),Feb 1 2018,97.067254
51641,Food Indices (2015=100),Feb 1 2019,93.880203
51642,Food Indices (2015=100),Feb 1 2020,100.880501
51643,Food Indices (2015=100),Feb 1 2021,119.765481
51644,Food Indices (2015=100),Mar 1 2000,28.952897
51645,Food Indices (2015=100),Mar 1 2001,33.255698
51646,Food Indices (2015=100),Mar 1 2002,34.673841
51647,Food Indices (2015=100),Mar 1 2003,35.860873
51648,Food Indices (2015=100),Mar 1 2004,37.727908
51649,Food Indices (2015=100),Mar 1 2005,38.685408
51650,Food Indices (2015=100),Mar 1 2006,43.883816
51651,Food Indices (2015=100),Mar 1 2007,45.070864
51652,Food Indices (2015=100),Mar 1 2008,61.792143
51653,Food Indices (2015=100),Mar 1 2009,68.168786
51654,Food Indices (2015=100),Mar 1 2010,68.137937
51655,Food Indices (2015=100),Mar 1 2011,92.062398
51656,Food Indices (2015=100),Mar 1 2012,84.388896
51657,Food Indices (2015=100),Mar 1 2013,89.660909
51658,Food Indices (2015=100),Mar 1 2014,94.477693
51659,Food Indices (2015=100),Mar 1 2015,103.235895
51660,Food Indices (2015=100),Mar 1 2016,95.012457
51661,Food Indices (2015=100),Mar 1 2017,96.699564
51662,Food Indices (2015=100),Mar 1 2018,96.625396
51663,Food Indices (2015=100),Mar 1 2019,93.986779
51664,Food Indices (2015=100),Mar 1 2020,104.151285
51665,Food Indices (2015=100),Mar 1 2021,121.361232
51666,Food Indices (2015=100),Apr 1 2000,29.379003
51667,Food Indices (2015=100),Apr 1 2001,33.411646
51668,Food Indices (2015=100),Apr 1 2002,34.678712
