,symbol,date,price
3575,Value US$,Jan 1 1990,1640.901214
3576,Value US$,Jan 1 1991,1343.787235
3577,Value US$,Jan 1 1992,772.693506
3578,Value US$,Jan 1 1993,569.508944
3579,Value US$,Jan 1 1994,532.722959
3580,Value US$,Jan 1 1995,571.463513
3581,Value US$,Jan 1 1996,664.924511
3582,Value US$,Jan 1 1997,784.145143
3583,Value US$,Jan 1 1998,830.817713
3584,Value US$,Jan 1 1999,660.937915
3585,Value US$,Jan 1 2000,737.455158
3586,Value US$,Jan 1 2001,788.182592
3587,Value US$,Jan 1 2002,838.846017
3588,Value US$,Jan 1 2003,990.542525
3589,Value US$,Jan 1 2004,1276.012133
3590,Value US$,Jan 1 2005,1601.875516
3591,Value US$,Jan 1 2006,1944.722331
3592,Value US$,Jan 1 2007,2568.282504
3593,Value US$,Jan 1 2008,3249.168583
3594,Value US$,Jan 1 2009,2749.497172
3595,Value US$,Jan 1 2010,2986.80322
3596,Value US$,Jan 1 2011,3701.895109
3597,Value US$,Jan 1 2012,4057.186532
3598,Value US$,Jan 1 2013,4245.815504
3599,Value US$,Jan 1 2014,4368.285397
3600,Value US$,Jan 1 2015,3715.95498
3601,Value US$,Jan 1 2016,3770.83671
3602,Value US$,Jan 1 2017,4051.839171
3603,Value US$,Jan 1 2018,4396.66682
3604,Value US$,Jan 1 2019,4439.323978
